feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
3025,prot-private,20,17,3,8051,760,0.5349231979464248,-0.9025963246739215,0.24653007314042663,0.85,0.15,6.137591276259506e-74
3026,dna-private,112,111,1,7957,762,10.629885635289682,3.4100541701864846,0.0009661003966551754,0.9910714285714286,0.008928571428571428,6.137591276259506e-74
3027,dna-private,17,16,1,8052,762,1.5141579731743666,0.5985157305719824,1.0,0.9411764705882353,0.058823529411764705,1.499676973186056e-14
3028,dna-private,308,285,23,7783,740,1.1781530537570737,0.23652697172610002,0.5353202089829068,0.9253246753246753,0.07467532467532467,6.388400221161359e-26
3029,dead,28,26,2,8042,761,1.2301666252176076,0.29885374084427707,1.0,0.9285714285714286,0.07142857142857142,1.499676973186056e-14
3030,prot-private,322,322,0,7746,763,63.57161298651004,5.990310788920568,2.9454937256131175e-13,1.0,0.0,6.137591276259506e-74
3031,prot-private,29,26,3,8042,760,0.8190334079416397,-0.2880057950494767,0.7354723604369783,0.896551724137931,0.10344827586206896,6.388400221161359e-26
3033,dna-private,21,16,5,8052,758,0.3012419274714357,-1.7310055136376103,0.03013179244691118,0.7619047619047619,0.23809523809523808,6.137591276259506e-74
3034,dna-private,231,222,9,7846,754,2.3704647803551704,1.2451699580993625,0.00614837152185004,0.961038961038961,0.03896103896103896,6.137591276259506e-74
3035,prot-private,332,330,2,7738,761,16.227061256138537,4.020329844306144,4.9553840368662456e-11,0.9939759036144579,0.006024096385542169,6.137591276259506e-74
3036,shared,19,18,1,8050,762,1.7038509316770187,0.7687991210462928,1.0,0.9473684210526315,0.05263157894736842,1.499676973186056e-14
3037,prot-private,19,17,2,8051,761,0.8034405663892684,-0.3157367887801676,0.677113499984792,0.8947368421052632,0.10526315789473684,6.388400221161359e-26
3038,dna-private,37,35,2,8033,761,1.6578488733972363,0.7293124992717513,0.7674493121844022,0.9459459459459459,0.05405405405405406,6.388400221161359e-26
3039,dna-private,33,33,0,8035,763,6.366063095015867,2.670401455813828,0.11089073460605553,1.0,0.0,6.137591276259506e-74
3040,dna-private,71,66,5,8002,758,1.2503874031492126,0.3223751492965808,0.8317555343109059,0.9295774647887324,0.07042253521126761,1.499676973186056e-14
3041,dna-private,25,24,1,8044,762,2.2734957732471406,1.1849123219091262,0.7193889252568892,0.96,0.04,6.388400221161359e-26
3043,dna-private,40,33,7,8035,756,0.4435594275046671,-1.172800687040534,0.07971035981555347,0.825,0.175,6.137591276259506e-74
3044,dna-private,50,48,2,8020,761,2.2773067331670824,1.1873286228824191,0.3179051122649078,0.96,0.04,1.3486175434808079e-64
3045,dna-private,65,59,6,8009,757,0.9294335539185083,-0.10557636568535422,0.8237079582206315,0.9076923076923077,0.09230769230769231,1.499676973186056e-14
