feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
118,prot-private,96,87,9,7981,754,0.9132523075637974,-0.1309146009601935,0.7160565288786385,0.90625,0.09375,0.929036603167421
119,dna-private,12,11,1,8057,762,1.0403375946382027,0.05705176594078467,1.0,0.9166666666666666,0.08333333333333333,1.0
120,dna-private,15,13,2,8055,761,0.614090626939789,-0.7034765119492934,0.37647785138890716,0.8666666666666667,0.13333333333333333,0.701027723275896
121,dna-private,443,434,9,7634,754,4.7628445841702325,2.251823473055273,5.5311519371183375e-09,0.9796839729119639,0.020316027088036117,2.2242291832241825e-07
122,dna-private,43,40,3,8028,760,1.2622487958810829,0.3359963011345369,1.0,0.9302325581395349,0.06976744186046512,1.0
124,prot-private,131,129,2,7939,761,6.182705630432045,2.6282383179667983,0.0013721076110763692,0.9847328244274809,0.015267175572519083,0.012657414008470815
125,dna-private,11,11,0,8057,763,2.179398076326404,1.1239297349069568,0.6147434751291604,1.0,0.0,0.8877285057891666
126,dna-private,43,39,4,8029,759,0.9216901233030266,-0.11764630379571438,0.7852915920495436,0.9069767441860465,0.09302325581395349,0.973246628835172
127,prot-private,28,26,2,8042,761,1.2301666252176076,0.29885374084427707,1.0,0.9285714285714286,0.07142857142857142,1.0
128,dna-private,55,52,3,8016,760,1.6433799068529606,0.7166660325556753,0.6268287249000257,0.9454545454545454,0.05454545454545454,0.8877529337287737
129,dna-private,43,40,3,8028,760,1.2622487958810829,0.3359963011345369,1.0,0.9302325581395349,0.06976744186046512,1.0
130,prot-private,71,71,0,7997,763,13.651828696467646,3.771022311572205,0.0024952825798590364,1.0,0.0,0.020142993006114353
131,prot-private,21,18,3,8050,760,0.5664596273291925,-0.8199549588372377,0.42023358676848527,0.8571428571428571,0.14285714285714285,0.7371150617099185
132,dna-private,77,71,6,7997,757,1.120149222625151,0.16369093621236583,1.0,0.922077922077922,0.07792207792207792,1.0
133,prot-private,53,38,15,8030,748,0.23598173515981735,-2.0832528946819733,2.6794774859398556e-05,0.7169811320754716,0.2830188679245283,0.00042556407129633
134,prot-private,21,21,0,8047,763,4.079589934762349,2.028424145133909,0.25142759190310204,1.0,0.0,0.549679755577632
