feature,concept,confidence,modality,n_active,path_rate,top_gene,top_sub
1856,hydrophobicity-switch,0.6,novel,166,0.6,ATXN1,L>P
1551,hydrophobicity-switch,0.6,novel,442,0.43,RET,C>G
1449,hydrophobicity-switch,0.6,dna-driven,59,0.75,OTC,G>V
1018,hydrophobicity-switch,0.6,dna-driven,47,0.2,FAM90A1,A>E
456,hydrophobicity-switch,0.6,novel,701,0.91,SCN1A,L>R
693,hydrophobicity-switch,0.6,novel,196,0.35,NIN,L>P
572,hydrophobicity-switch,0.6,cross-modal,176,0.25,SDHD,M>L
482,aromatic-loss (pi-stacking disruption),0.59,novel,585,0.59,VHL,Y>H
1023,hydrophobicity-switch,0.59,novel,646,0.78,PRF1,L>P
1541,hydrophobicity-switch,0.59,cross-modal,421,0.9,SCN1A,I>S
1573,hydrophobicity-switch,0.59,novel,265,0.85,COL2A1,G>R
1641,cysteine-loss (disulfide disruption),0.59,novel,259,0.8,FBN1,C>S
73,cysteine-loss (disulfide disruption),0.59,cross-modal,283,0.75,FBN1,C>W
1134,hydrophobicity-switch,0.59,cross-modal,370,0.49,HGD,G>V
124,hydrophobicity-switch,0.58,novel,453,0.82,ABCA4,E>V
1171,hydrophobicity-switch,0.58,novel,1176,0.7,PTEN,I>N
2009,hydrophobicity-switch,0.58,dna-driven,2201,0.91,COL1A1,G>V
724,hydrophobicity-switch,0.58,protein-driven,515,0.71,COL4A5,G>V
785,proline-introduction (helix breaker),0.58,novel,311,0.87,NF1,R>P
1589,cysteine-loss (disulfide disruption),0.58,novel,305,0.87,FBN1,C>S
1240,hydrophobicity-switch,0.58,novel,134,0.6,PCDH19,G>V
1631,hydrophobicity-switch,0.58,novel,212,0.95,STXBP1,G>V
24,hydrophobicity-switch,0.58,novel,1648,0.68,MLH1,L>P
2026,hydrophobicity-switch,0.58,novel,833,0.63,FBN1,C>R
1022,proline-introduction (helix breaker),0.58,dna-driven,259,0.8,STAT1,Q>P
272,hydrophobicity-switch,0.58,novel,464,0.54,STT3B,L>P
2046,hydrophobicity-switch,0.57,protein-driven,73,0.6,SACS,R>I
1807,hydrophobicity-switch,0.57,novel,905,0.63,CDKL5,I>T
1874,proline-introduction (helix breaker),0.57,cross-modal,289,0.25,ALOX12B,Q>P
1234,aromatic-loss (pi-stacking disruption),0.57,cross-modal,1360,0.29,MBTPS2,F>S
1228,proline-introduction (helix breaker),0.57,novel,157,0.5,HTT,Q>P
1621,hydrophobicity-switch,0.57,novel,780,0.82,SCN1A,P>L
979,hydrophobicity-switch,0.57,novel,539,0.72,GAA,I>N
275,hydrophobicity-switch,0.57,novel,810,0.63,CLRN1,L>R
297,hydrophobicity-switch,0.57,dna-driven,276,0.74,SCN1A,L>P
1339,hydrophobicity-switch,0.57,novel,1135,0.72,OTC,L>R
1241,proline-introduction (helix breaker),0.57,novel,252,0.48,ALOX12B,R>P
1428,proline-introduction (helix breaker),0.57,novel,57,0.35,AXIN2,T>P
1393,hydrophobicity-switch,0.57,novel,250,0.24,BEST1,P>L
590,hydrophobicity-switch,0.57,novel,466,0.43,SERPINA7,L>Q
653,cysteine-gain (novel disulfide/redox),0.57,dna-driven,268,0.23,COL4A1,G>C
1183,cysteine-loss (disulfide disruption),0.57,dna-driven,841,0.96,FBN1,C>Y
1128,hydrophobicity-switch,0.57,novel,127,0.55,GUCY2C,L>P
804,hydrophobicity-switch,0.57,protein-driven,169,0.3,PAH,D>V
7,cysteine-gain (novel disulfide/redox),0.57,novel,139,0.8,DCX,R>C
1188,hydrophobicity-switch,0.56,novel,217,0.33,GALNS,V>D
1816,hydrophobicity-switch,0.56,novel,517,0.73,LHCGR,M>K
1279,hydrophobicity-switch,0.56,dna-driven,272,1.0,PIK3CA,T>I
1821,cysteine-loss (disulfide disruption),0.56,novel,292,0.38,RET,C>F
1130,hydrophobicity-switch,0.56,cross-modal,128,0.35,GJB2,R>L
925,hydrophobicity-switch,0.56,cross-modal,362,0.19,DYNC2LI1,D>V
755,cysteine-loss (disulfide disruption),0.56,dna-driven,42,0.7,RET,C>F
1366,cysteine-loss (disulfide disruption),0.56,cross-modal,98,0.9,FBN1,C>W
1385,aromatic-loss (pi-stacking disruption),0.56,novel,590,0.37,EDA,F>S
1005,proline-introduction (helix breaker),0.56,cross-modal,49,1.0,PGK1,T>P
395,hydrophobicity-switch,0.56,novel,298,0.48,CTU2,C>R
1060,hydrophobicity-switch,0.56,novel,1694,0.72,MTHFR,L>R
1324,aromatic-loss (pi-stacking disruption),0.56,cross-modal,207,1.0,SCN1A,F>S
335,hydrophobicity-switch,0.56,cross-modal,287,0.14,GATA4,E>V
685,hydrophobicity-switch,0.56,novel,113,0.75,STXBP1,M>R
69,proline-introduction (helix breaker),0.56,cross-modal,315,0.87,FBN1,T>P
30,hydrophobicity-switch,0.56,cross-modal,1237,0.79,FBN1,D>V
58,aromatic-loss (pi-stacking disruption),0.56,novel,316,0.81,HSD3B2,Y>S
961,charge-reversal,0.55,dna-driven,2086,0.84,PIK3CA,E>K
1118,proline-introduction (helix breaker),0.55,novel,1305,0.74,OTC,L>P
61,hydrophobicity-switch,0.55,dna-driven,964,0.86,SCN1A,M>V
1633,hydrophobicity-switch,0.55,novel,429,0.31,MTOR,R>G
654,hydrophobicity-switch,0.55,cross-modal,382,0.16,GATA3,Y>F
3,collagen Gly-X-Y disruption,0.55,cross-modal,591,0.98,COL1A2,G>S
1742,hydrophobicity-switch,0.55,cross-modal,67,0.15,SDHB,E>A
221,hydrophobicity-switch,0.55,novel,443,0.48,REC114,L>W
1411,hydrophobicity-switch,0.55,novel,438,0.67,CYP21A2,D>V
1491,cysteine-loss (disulfide disruption),0.55,cross-modal,205,0.65,FBN1,C>Y
347,proline-introduction (helix breaker),0.55,dna-driven,196,0.95,MTM1,H>P
290,hydrophobicity-switch,0.55,novel,463,0.72,LIMS2,L>P
670,hydrophobicity-switch,0.55,novel,617,0.52,CLCNKB,R>C
1681,hydrophobicity-switch,0.55,novel,2154,0.58,GCDH,G>V
1087,hydrophobicity-switch,0.55,cross-modal,394,0.0,RSPH4A,L>P
886,hydrophobicity-switch,0.54,novel,1412,0.3,GUCY2D,D>V
38,hydrophobicity-switch,0.54,protein-driven,6540,0.7,COL1A2,G>R
