feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
9178,121,0.5,cross-mo,0.468,unresolved,0,ACADVL,0.1,other,0.0,K>Q,1.0,0.0,0.0,0.0,0.0,0.4,1.0,24.8,False,0.083,GO:0042802,GO:0005737,GO:0006508
9179,46,-1.0,cross-mo,0.592,unresolved,0,ITGB3,0.05,transporter,0.1,I>T,0.2,0.0,0.0,0.0,0.0,3.43,0.1,30.6,False,0.16,GO:0005886,GO:0016020,GO:0050839
9182,10,0.333,cross-mo,0.569,unresolved,0,FAM111B,0.05,ion_channel,0.1,S>R,0.5,0.0,0.0,0.0,0.1,2.59,0.7,60.3,False,0.392,GO:0005886,GO:0005789,GO:0005634
9185,335,0.0,cross-mo,0.603,benign-general,1,WARS1,0.1,keratin,0.1,A>S,0.3,0.05,0.0,0.15,0.0,2.54,0.2,28.4,False,0.217,GO:0005829,GO:0005737,GO:0070062
9186,85,0.0,cross-mo,0.549,benign-general,1,QSOX2,0.05,cardiac_sarcomere,0.05,S>L,0.3,0.1,0.0,0.0,0.0,3.48,0.25,62.5,False,0.149,GO:0005886,GO:0005654,GO:0005634
9187,289,0.1,cross-mo,0.598,unresolved,0,NLGN3,0.05,other,0.0,T>M,1.0,0.0,0.0,0.0,0.0,2.6,0.0,46.8,False,0.273,GO:0005886,GO:0005829,GO:0016020
9188,38,-1.0,cross-mo,0.549,unresolved,0,CITED4,0.05,coagulation,0.05,P>L,0.2,0.0,0.0,0.0,0.0,2.9,0.15,57.8,False,0.281,GO:0005886,GO:0005654,GO:0005829
9190,1011,0.273,cross-mo,0.583,mechanism:cysteine-gain,4,DNM1L,0.02,transporter,0.02,R>C,1.0,0.0,0.0,1.0,0.0,7.0,1.0,64.9,False,0.284,GO:0005737,GO:0005829,GO:0042802
9191,77,0.0,cross-mo,0.619,benign-general,1,TGM1,0.05,other,0.0,S>F,1.0,0.0,0.0,0.0,0.0,3.6,0.0,100.9,False,0.495,GO:0005634,GO:0005829,GO:0005654
9193,15,0.857,cross-mo,0.562,unresolved,0,FAM43A,0.05,ion_channel,0.05,M>V,0.55,0.05,0.0,0.05,0.05,2.47,0.1,37.6,False,0.344,GO:0005886,GO:0016020,GO:0005737
9194,122,0.5,cross-mo,0.575,unresolved,0,FA2H,0.05,transporter,0.05,P>L,0.15,0.1,0.05,0.0,0.0,3.93,0.1,57.6,False,0.239,GO:0005886,GO:0005737,GO:0005634
9199,366,0.7,cross-mo,0.419,unresolved,0,GAN,0.05,RAS_MAPK,0.05,I>F,0.65,0.0,0.0,0.0,0.0,1.38,0.02,18.7,False,0.248,GO:0005829,GO:0005886,GO:0005737
9200,13,0.429,cross-mo,0.555,gene-family:ion_channel,4,CACNB2,0.4,ion_channel,0.45,R>C,0.3,0.05,0.0,0.35,0.15,4.31,0.75,62.8,False,0.212,GO:0005886,GO:1990454,GO:0098684
